token,2024_n,2024_mean12,2024_median12,2024_win12,2024_mfe12,2024_mae12,2024_mean24,2025_n,2025_mean12,2025_median12,2025_win12,2025_mfe12,2025_mae12,2025_mean24,2026_n,2026_mean12,2026_median12,2026_win12,2026_mfe12,2026_mae12,2026_mean24,conservative_train_lift
M15_STOCH_P4=-0++,52,0.3917912466964124,0.33053844390489306,53.84615384615385,1.7440444270154947,-1.3099556287690899,0.9500092585071243,45,0.4824524046398847,0.0784762419088203,55.55555555555556,1.4140494668556614,-0.9165053241431769,0.3031434710665559,29,0.3954478843836353,0.27563706537345745,58.620689655172406,1.2266699866311699,-0.7742278215212658,0.8555069695557509,0.36082493844565555
H1_OBV_P4=0++0,55,0.36697461890346417,0.4022477077546327,58.18181818181818,1.6517574400568358,-1.2692580439945156,0.39270764855331775,36,0.4104914367175241,0.31822766355770193,66.66666666666666,1.4516998308859625,-1.0859734910988468,0.10873696098695206,20,0.007008444958348492,-0.08428491312275077,50.0,0.9537636854493936,-0.9716414667383377,0.011267357985074722,0.3360083106527073
H1_MACD_P4=++0-,44,0.28451896571094254,0.09519227749359427,54.54545454545454,1.3057810976156274,-1.1648712742535237,0.35394248205473333,58,0.2266044893103726,0.09129583935831853,53.44827586206896,1.2921228594934182,-1.187652217728704,0.29225518663755584,29,0.005068044864703152,-0.15778477052136308,48.275862068965516,1.059159804475095,-1.2581278560158913,0.4596801357668081,0.2535526574601857
H4_WPR_P3=-0+,76,0.23468123992998657,0.2788899884446083,57.89473684210527,1.5503841561911023,-1.4915190158578282,0.4656633996314069,70,0.22738663999328873,0.0896349661627549,54.285714285714285,1.3528511376330434,-1.1785632431802406,-0.020898502068478653,60,0.017234885560705383,-0.17371859424071823,45.0,1.098843934027801,-1.2910626670046854,0.1327726442147015,0.20371493167922972
M15_STOCH_P4=-00+,60,0.21998516582241426,0.21701719251457918,55.00000000000001,1.463600286275563,-1.3350720517855446,-0.009135800435640861,64,0.16644055843224698,0.131886386729263,59.375,1.1441640407788247,-1.1726231179683237,0.08044789054375484,44,0.25135159470302254,0.4775348359654097,65.9090909090909,1.3518853696034492,-1.0503753180506492,-0.36618684316236894,0.1890188575716574
H4_OBV_P3=-++,58,0.3201174221878604,0.4652666022098906,60.3448275862069,1.543821084513075,-1.1820322135548804,0.05359029235340369,49,0.1480198228331469,0.23208274939989781,55.10204081632652,1.1136498487814086,-0.9194668694349439,-0.12606586054473423,34,-0.24737654347185228,-0.1926844315934817,41.17647058823529,0.9225926369288802,-1.2341557947993178,0.0768664492032546,0.1808001125000092
H1_OBV_P4=++0-,90,0.1787709059781388,0.03824757448549487,53.333333333333336,1.592071428000027,-1.4837766816344742,0.2845348912993038,67,0.32077382650285036,0.23166596111452442,56.71641791044776,1.2778465740894396,-1.1584357575704072,0.20582126837436346,53,0.13957789435998666,0.05762490922076591,52.83018867924528,1.149908084604371,-1.0810480142087113,0.4315682998090706,0.14780459772738194
H1_OBV_P4=+0+-,52,0.39258243458458664,0.30905465669631704,59.61538461538461,1.6013932990565702,-1.237998546372237,0.3591665114845635,40,0.10553277118510004,0.10188753704536424,57.49999999999999,1.083144611459889,-0.9774271027027229,-0.2681132643532255,33,0.06845627127056818,0.3444992424433524,66.66666666666666,1.3066854976192903,-1.0985433989250921,0.06796189525726584,0.13831306085196238
H1_STOCH_P4=++--,37,0.24779883536783132,0.09065168840076687,56.75675675675676,1.511751359810591,-1.0581140491575174,0.3007760214334852,43,0.10192252114399054,0.23166596111452442,60.46511627906976,1.1720124882091396,-1.2126723331287181,0.41624467659033554,41,0.13940128253705766,0.22949479707001785,56.09756097560976,1.3703095726521224,-1.2060627374330586,0.14909074350406423,0.13470281081085286
H4_RSI_P3=-0+,53,0.17014774979607192,0.3250534032751773,62.264150943396224,1.6159944284701557,-1.466503568243301,0.5699543938348611,88,0.09235989447918244,0.16572666378086298,59.09090909090909,1.1833040416506206,-1.1245098208335944,-0.09367441562135022,56,0.04634745848114051,0.10378769953557354,53.57142857142857,1.1255560610093969,-1.1993320328656654,0.45844267402075195,0.12514018414604478
M15_RSI_P4=---+,62,0.17952164187231623,0.44235915382832003,58.06451612903226,1.5267821786502722,-1.4924931394878411,0.6603625075744839,58,0.08060689534487957,-0.03025544404444691,48.275862068965516,1.0757098081093228,-1.0898102670081933,-0.13901762105864174,45,-0.2571443377525485,-0.0011888621193834048,48.888888888888886,1.131749944923146,-1.4812326140242154,-0.40932610902669764,0.11338718501174189
H1_RSI_P4=++0-,65,0.1416591158184912,0.04777504777504493,52.307692307692314,1.4931428372960978,-1.3257226063501193,0.0021661706375290567,54,0.3662147138482894,0.19630314215164368,59.25925925925925,1.314618794407416,-0.9608804622371862,0.4050740143752006,42,-0.011631422651718152,-0.18734197903996774,47.61904761904761,1.1257073867827139,-1.152492824713381,0.07647126965440543,0.11069280756773434
H1_MACD_P4=+++0,94,0.14027454931824704,0.12980790897798578,56.38297872340425,1.6102713306856977,-1.4271465619642065,0.018894638968404466,88,0.14656403221226186,0.13562234373596382,55.68181818181818,1.2440493943534243,-1.03100495420039,0.026015478812970404,71,-0.22342376135527361,-0.02719551208362203,47.88732394366197,0.9802591090512368,-1.220621981679793,-0.23028776935255316,0.10930824106749018
H1_WPR_P4=+++0,38,0.12607212530068748,0.16473639754346348,57.89473684210527,1.6780599218225452,-1.4669640234093684,0.3142997968929902,43,0.18477277112962834,0.1702772198195479,51.162790697674424,1.250899013456299,-1.2800853094447837,0.288198948137792,23,0.11140311747612762,0.12984415210617328,56.52173913043478,1.1367037933860529,-1.0888502642654592,0.17792943288660173,0.09510581704993062
